17048,6017852,"RING,WEARING:ENSIVAL 200VE POS67",C,49000000,6.85380952380952,143.93,2024-08-30
17049,6017869,"RING,WEARING:ENSIVAL 200VE POS70",C,49000000,6.85380952380952,143.93,2024-08-30
17050,6001760,"BEARING,SLEEVE:ENSIVAL PUMP",C,52300000,6,120,2024-08-30
17051,6020206,BEARING WASHER:ENSIVAL 200-VE-220-29-2,C,11950000,6,120,2024-08-30
17052,6010162,GASKET:EBARA 40X25-UCWM-20 POS117-6,C,309001,7.2447619047619,152.14,2024-08-30
17053,6008883,"SEAL,MECH:COMPLETE;PILLAR;U-GA-303",C,1,3,90,2024-08-30
17054,6008790,"SEAL,MECH:BASIC;PILLAR;U-GA-501",C,1,6,180,2024-08-30
17055,6008557,"SEAL,MECH:40-GPF-52.2 OIL PUMP;U-GA-502",C,4100000,1.51920634920635,31.9033333333333,2024-08-30
17056,6162461,GASKET:CASING;RUHRPUMPEN 2.5HSM-11 POS16,B,5350000,3.69047619047619,77.5,2024-08-30
17057,6035802,"BEARING,SLEEVE:LO;ENSIVAL VM-EMTECH-40",C,34518000,8.94571428571429,187.86,2024-08-30
17058,6038737,"COUPLING,FLEX:ENSIVAL VM-EMTECH-40-250K",C,25012000,8.94571428571429,187.86,2024-08-30
17059,6045898,"NUT,PLAIN,RND:VM 40-250K ENSIVAL BRG",C,820000,8.94571428571429,187.86,2024-08-30
17060,6052956,"SEAL,ENCASED:RAD;VM-EMTECH-40-250K;POS15",C,361000,8.94571428571429,187.86,2024-08-30
17061,6059108,"WASHER,LOCK:ENSIVAL VM-EMTECH-40-250K",C,132000,8.94571428571429,187.86,2024-08-30
17062,6020079,CYLINDER SLEEVE:INTERM;ENSIVAL PUMP,C,1,8.94571428571429,187.86,2024-08-30
17063,6054676,"SHAFT,STRAIGHT:VM EMTECH 40-250K;PUMP",C,51957000,8.94571428571429,187.86,2024-08-30
17064,6043941,"IMPELLER,PUMP:ENSIVAL VM-EMTECH-40-250K",C,39435000,8.94571428571429,187.86,2024-08-30
17065,6020106,BUSHING:BRONZE;BEARING;ENSIVAL PUMP,B,17013001,8.94571428571429,187.86,2024-08-30
17066,6059106,RING BEARING:ENSIVAL VM-EMTECH-40-250K,C,9998000,8.94571428571429,187.86,2024-08-30
17067,6163177,"SEAL,PLAIN:RAD;ENSIVAL EMTECH 40-250K",C,361000,8.94571428571429,187.86,2024-08-30
17068,6003393,TURBINE ROTOR:TURBODYNE;283M;2003-JT,D,0,12,360,2024-08-30
17069,6009314,SEAL RING:3MM;TURBODYNE 451-HP TURBINE,C,1,3,90,2024-08-30
17070,6052390,"SEAL ASSY,PACKING:TURBODYNE 451-HP",C,555141,6,180,2024-08-30
17071,6202450,"FILTER,OIL:ATLASCOPCO;1614 7273 99",C,2126100,0.782380952380952,16.43,2024-08-30
17072,6020051,"BEARING,SLEEVE:EXH END;TURBODYNE 163M",C,14607412,2.14285714285714,45,2024-08-30
17073,6005217,DEFLECTOR:TURBODYNE 163M POS63+45,C,6725209,8.80952380952381,185,2024-08-30
17074,6021701,"SEAL ASSY,PACKING:CARBON;TURBODYNE;163M",C,2759464,5.69738095238095,119.645,2024-08-30
17075,6020855,"RING,OIL CTRL:TURBODYNE;FRM 163M;POS40",C,2779333,6.76873015873016,142.143333333333,2024-08-30
17076,6008972,"SEAL,MECH:COMPLETE;PILLAR;A-GA-2001",C,1,6,120,2024-08-30
17077,6024732,TURBINE ROTOR:DRESSER;505W,D,83101053,9.72785714285714,204.285,2024-08-30
17078,6045893,"NUT,PLAIN,RND:DMW 36X30-DF-S-GT PUMP",C,1742400,6.56476190476191,137.86,2024-08-30
17079,6042331,GASKET:CASING;DMW 36X30-DF-S-GT;POSB8G3,C,1390950,6.56476190476191,137.86,2024-08-30
17080,6059097,"WASHER,LOCK:DMW 36X30-DF-S-GT PUMP",C,694980,6.56476190476191,137.86,2024-08-30
17081,6022806,"INSERT SET,CPLG:DAIDO GB-30-SN-180K",C,1,6,120,2024-08-30
17082,6009013,"SEAL,MECH:COMPLETE;PILLAR;C-GA-2006",C,1,6,120,2024-08-30
17083,6042375,GASKET:END COVER;DMW 36X30-DF-S-GT PUMP,C,1049400,6.56476190476191,137.86,2024-08-30
17084,6108698,"LOW SPEED GEAR, P/N. 2107; 2108",D,0,16.0204761904762,336.43,2024-08-30
17085,6108697,"PINION HIGH SPEED GEAR, P/N.2106",D,0,16.0204761904762,336.43,2024-08-30
17086,6001322,"BEARING,BALL:TURBINE;SHINKO;POS 1229",C,2316941,3.50333333333333,73.57,2024-08-30
17087,6001817,"BEARING,SLEEVE:SHINKO DLG61-KX-65;POS1450",C,0,-,-,2024-08-30
17088,6036223,"BLADE SET,TURBINE:SHINKO KX-65 1087+1089",D,0,6,120,2024-08-30
17089,6036224,"BLADE SET,TURBINE:SHINKO KX-65 1088+1090",D,0,6,120,2024-08-30
17090,6055264,"SPRING,HELICAL:SHINKO DLG61KX-65 POS1436",C,0,6,120,2024-08-30
